# http://localhost:2811 --workers 10 --output-dir shinylogs/run1
# {"appUrl":"http://localhost:2811","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"shinylogs/run1","overwriteOutput":false,"recordingPath":"shinylogs/recording.log","workers":10}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
41,1,4,REQ_GET_START,1648205201004,58,
41,1,4,REQ_GET_END,1648205201005,58,
41,1,4,REQ_GET_START,1648205201005,59,
41,1,4,REQ_GET_END,1648205201007,59,
41,1,4,REQ_GET_START,1648205201007,60,
41,1,4,REQ_GET_END,1648205201008,60,
41,1,4,REQ_GET_START,1648205201008,61,
41,1,4,REQ_GET_END,1648205201009,61,
41,1,4,REQ_GET_START,1648205201009,62,
41,1,4,REQ_GET_END,1648205201010,62,
41,1,4,REQ_GET_START,1648205201010,63,
41,1,4,REQ_GET_END,1648205201013,63,
41,1,4,REQ_GET_START,1648205201013,64,
41,1,4,REQ_GET_END,1648205201014,64,
41,1,4,REQ_GET_START,1648205201014,65,
41,1,4,REQ_GET_END,1648205201017,65,
41,1,4,REQ_GET_START,1648205201017,66,
41,1,4,REQ_GET_END,1648205201019,66,
41,1,4,REQ_GET_START,1648205201019,67,
41,1,4,REQ_GET_END,1648205201021,67,
41,1,4,REQ_GET_START,1648205201021,68,
41,1,4,REQ_GET_END,1648205201026,68,
41,1,4,REQ_GET_START,1648205201026,69,
41,1,4,REQ_GET_END,1648205201031,69,
41,1,4,REQ_GET_START,1648205201031,70,
41,1,4,REQ_GET_END,1648205201036,70,
41,1,4,WS_OPEN_START,1648205201036,71,
41,1,4,WS_OPEN_END,1648205201815,71,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205201815,72,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205201852,72,
41,1,4,WS_SEND_START,1648205201852,72,
41,1,4,WS_SEND_END,1648205201852,72,
41,1,4,WS_RECV_INIT_START,1648205201852,73,
41,1,4,WS_RECV_INIT_END,1648205202387,73,
41,1,4,WS_RECV_START,1648205202387,74,
41,1,4,WS_RECV_END,1648205202500,74,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205202500,75,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205207288,75,
41,1,4,WS_SEND_START,1648205207288,75,
41,1,4,WS_SEND_END,1648205207288,75,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205207288,76,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205209424,76,
41,1,4,WS_SEND_START,1648205209424,76,
41,1,4,WS_SEND_END,1648205209424,76,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205209424,77,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205221757,77,
41,1,4,WS_SEND_START,1648205221757,77,
41,1,4,WS_SEND_END,1648205221757,77,
41,1,4,WS_RECV_START,1648205221757,78,
41,1,4,WS_RECV_END,1648205221901,78,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205221901,79,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223209,79,
41,1,4,WS_SEND_START,1648205223209,79,
41,1,4,WS_SEND_END,1648205223209,79,
41,1,4,WS_RECV_START,1648205223209,80,
41,1,4,WS_RECV_END,1648205223275,80,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223275,81,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223283,81,
41,1,4,REQ_GET_START,1648205223283,81,
41,1,4,REQ_GET_END,1648205223284,81,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223284,82,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223289,82,
41,1,4,REQ_GET_START,1648205223289,82,
41,1,4,REQ_GET_END,1648205223290,82,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223290,83,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223295,83,
41,1,4,REQ_GET_START,1648205223295,83,
41,1,4,REQ_GET_END,1648205223300,83,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223300,84,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223320,84,
41,1,4,REQ_GET_START,1648205223320,84,
41,1,4,REQ_GET_END,1648205223321,84,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223321,85,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223325,85,
41,1,4,REQ_GET_START,1648205223325,85,
41,1,4,REQ_GET_END,1648205223326,85,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223326,86,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223336,86,
41,1,4,REQ_GET_START,1648205223336,86,
41,1,4,REQ_GET_END,1648205223337,86,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223337,87,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223341,87,
41,1,4,REQ_GET_START,1648205223341,87,
41,1,4,REQ_GET_END,1648205223343,87,
41,1,4,REQ_POST_START,1648205223343,88,
41,1,4,REQ_POST_END,1648205223397,88,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223397,89,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223426,89,
41,1,4,WS_SEND_START,1648205223426,89,
41,1,4,WS_SEND_END,1648205223426,89,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223426,90,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205223468,90,
41,1,4,WS_SEND_START,1648205223468,90,
41,1,4,WS_SEND_END,1648205223468,90,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205223468,91,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205224275,91,
41,1,4,WS_SEND_START,1648205224275,91,
41,1,4,WS_SEND_END,1648205224275,91,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205224275,92,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205237673,92,
41,1,4,WS_SEND_START,1648205237673,92,
41,1,4,WS_SEND_END,1648205237673,92,
41,1,4,WS_RECV_START,1648205237673,93,
41,1,4,WS_RECV_END,1648205237932,93,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205237932,94,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205244749,94,
41,1,4,WS_SEND_START,1648205244749,94,
41,1,4,WS_SEND_END,1648205244749,94,
41,1,4,WS_RECV_START,1648205244749,95,
41,1,4,WS_RECV_END,1648205244813,95,
41,1,4,REQ_POST_START,1648205244813,96,
41,1,4,REQ_POST_END,1648205244820,96,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205244820,97,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205244897,97,
41,1,4,WS_SEND_START,1648205244897,97,
41,1,4,WS_SEND_END,1648205244897,97,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205244897,98,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205244906,98,
41,1,4,WS_SEND_START,1648205244906,98,
41,1,4,WS_SEND_END,1648205244906,98,
41,1,4,REQ_POST_START,1648205244906,99,
41,1,4,REQ_POST_END,1648205244926,99,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205244926,100,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205244949,100,
41,1,4,WS_SEND_START,1648205244949,100,
41,1,4,WS_SEND_END,1648205244949,100,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205244949,101,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205249350,101,
41,1,4,WS_SEND_START,1648205249350,101,
41,1,4,WS_SEND_END,1648205249350,101,
41,1,4,WS_RECV_START,1648205249350,102,
41,1,4,WS_RECV_END,1648205249495,102,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205249495,103,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205254850,103,
41,1,4,WS_SEND_START,1648205254850,103,
41,1,4,WS_SEND_END,1648205254850,103,
41,1,4,WS_RECV_START,1648205254850,104,
41,1,4,WS_RECV_END,1648205254858,104,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205254858,105,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205257085,105,
41,1,4,WS_SEND_START,1648205257085,105,
41,1,4,WS_SEND_END,1648205257085,105,
41,1,4,WS_RECV_START,1648205257085,106,
41,1,4,WS_RECV_END,1648205257254,106,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205257254,107,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205259308,107,
41,1,4,WS_SEND_START,1648205259308,107,
41,1,4,WS_SEND_END,1648205259308,107,
41,1,4,WS_RECV_START,1648205259308,108,
41,1,4,WS_RECV_END,1648205259370,108,
41,1,4,REQ_POST_START,1648205259370,109,
41,1,4,REQ_POST_END,1648205259377,109,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205259377,110,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205259387,110,
41,1,4,WS_SEND_START,1648205259387,110,
41,1,4,WS_SEND_END,1648205259387,110,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205259387,111,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205259398,111,
41,1,4,WS_SEND_START,1648205259398,111,
41,1,4,WS_SEND_END,1648205259398,111,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205259398,112,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205261995,112,
41,1,4,WS_SEND_START,1648205261995,112,
41,1,4,WS_SEND_END,1648205261995,112,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205261995,113,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205265792,113,
41,1,4,WS_SEND_START,1648205265792,113,
41,1,4,WS_SEND_END,1648205265792,113,
41,1,4,WS_RECV_START,1648205265792,114,
41,1,4,WS_RECV_END,1648205265805,114,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205265805,115,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205267313,115,
41,1,4,WS_SEND_START,1648205267313,115,
41,1,4,WS_SEND_END,1648205267313,115,
41,1,4,WS_RECV_START,1648205267313,116,
41,1,4,WS_RECV_END,1648205267322,116,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205267322,117,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205268085,117,
41,1,4,WS_SEND_START,1648205268085,117,
41,1,4,WS_SEND_END,1648205268085,117,
41,1,4,WS_RECV_START,1648205268085,118,
41,1,4,WS_RECV_END,1648205268146,118,
41,1,4,REQ_POST_START,1648205268146,119,
41,1,4,REQ_POST_END,1648205268153,119,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205268153,120,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205268164,120,
41,1,4,WS_SEND_START,1648205268164,120,
41,1,4,WS_SEND_END,1648205268164,120,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205268164,121,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205268171,121,
41,1,4,WS_SEND_START,1648205268171,121,
41,1,4,WS_SEND_END,1648205268171,121,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205268171,122,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205269716,122,
41,1,4,WS_SEND_START,1648205269716,122,
41,1,4,WS_SEND_END,1648205269716,122,
41,1,4,WS_RECV_START,1648205269716,123,
41,1,4,WS_RECV_END,1648205270527,123,
41,1,4,PLAYBACK_SLEEPBEFORE_START,1648205270527,124,
41,1,4,PLAYBACK_SLEEPBEFORE_END,1648205277402,124,
41,1,4,WS_CLOSE_START,1648205277402,124,
41,1,4,WS_CLOSE_END,1648205277402,124,
41,1,4,PLAYBACK_DONE,1648205277402,0,
